Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.18200179934501648,0.02942851185798645,193.3305170294944,272.1771857443821,0.055970072746276855,206.31861540262173,251.8170646067416,0.030339926481246948,1600.775397940075,699.9344569288389,0.017504006624221802,224.3231178312266,262.16716409176036,0.015039145946502686,1591.1066245318352,690.3381027621724,0.11293616890907288,914.124531835206,321.70126697097385,0.10076883435249329,976.8997249531835,316.613047167603,0.3482661843299866,1394.0439197097378,421.49995610955057,0.16611605882644653,1391.699145599251,439.43308169475654,0.95285964012146,517.9086566596442,665.6415320692884,0.33735835552215576,521.167815133427,661.1346412687267,0.1330462098121643,200.93131876170412,1143.2319463951312,0.20115616917610168,350.7159995318352,1039.248595505618,0.09006401896476746,776.3012786750936,439.11992333801504,0.06980395317077637,772.7208421114233,435.27109667602997,0.20948800444602966,727.0590472846442,740.0487915496255,0.22388532757759094,722.4774695692884,745.1845593398878
1,0.21422547978513382,0.021365255117416382,1539.967813670412,685.829456343633,0.03306388854980469,209.72762318586143,251.2208860018727,0.028548240661621094,1526.5548923220974,652.3677434456929,0.011005163192749023,215.84543978230337,252.0812119616105,0.07269474864006042,1459.1091701779026,602.9528031367041,0.094017893075943,902.9950842696629,313.4141649110487,0.2907697558403015,968.6151100187266,307.57578417602997,0.6428729295730591,1420.2397881554307,424.59225772471916,0.25388622283935547,1420.6108087546818,423.23019077715355,0.9444305300712585,518.3340282654494,666.4042749297753,0.3540419042110443,522.1730527270599,661.650866104869,0.0962878167629242,52.85368387172285,1045.3104517790264,0.22997519373893738,350.9546172752809,1068.8837195692884,0.10610431432723999,225.22014717930713,1199.5493913857679,0.06136217713356018,192.12406001287454,1196.177434456929,0.18219205737113953,727.0241543773409,742.62501463015,0.21921506524085999,720.8238237359551,746.6289940308989
2,0.18906203438253963,0.01954132318496704,194.3166257022472,262.9335644897004,0.037263065576553345,200.16233979985955,244.02746079119856,0.02197897434234619,1452.0877223782772,677.9832338483147,0.015520691871643066,221.89573823735955,258.13692357209743,0.02269849181175232,1416.0956519194758,508.03648759363296,0.05974021553993225,264.72221003043074,371.9948209269663,0.40223294496536255,973.4988003277153,311.4972495318352,0.18848192691802979,844.9491602294008,1039.447272940075,0.08910536766052246,265.6331380208333,963.3977059925094,0.9375414252281189,519.4124531835206,668.1309252106741,0.3682659864425659,524.8649637172285,662.8391268726591,0.13133183121681213,50.411619264981276,1046.1543188202247,0.2454141080379486,348.2420411985019,1073.1836669007491,0.1272680163383484,222.08644224016854,1201.1619264981273,0.0694645345211029,189.80743065308988,1198.2721793071162,0.23221054673194885,723.1707192181648,737.0226182116105,0.24599513411521912,717.3182935393259,742.2629915730338
3,0.23437140969669118,0.1287098526954651,1651.98984667603,735.5366338951312,0.18972942233085632,1699.768989934457,565.2516385767791,0.11093467473983765,1636.2321512172284,705.4002077481273,0.1165643036365509,1715.428663389513,578.8759655898876,0.22735556960105896,1524.141649110487,675.3988178838952,0.08258354663848877,1724.3050678838952,621.6385036282772,0.48781973123550415,1033.0015215355807,309.0433345037453,0.1839863359928131,848.3450374531835,1035.7050269194758,0.11496824026107788,302.73377150632024,841.1835791198503,0.9383291006088257,518.3150456460675,669.6226884363296,0.367556631565094,522.9431106624533,664.7725011704119,0.14559030532836914,55.35832894428839,1047.9086200842696,0.2300010323524475,344.3085791198502,1038.3302610018727,0.1290135681629181,222.9694997951779,1204.778206928839,0.07471740245819092,775.2545646067416,437.8762143024345,0.2184440791606903,727.3858116807116,735.7889308286517,0.23801016807556152,720.1506905430712,741.2249824438202
4,0.2422917713137234,0.11755123734474182,1545.0589595037454,698.1004213483147,0.05539423227310181,1657.7519311797753,687.4196804775281,0.12396785616874695,1562.287423923221,663.1181238295881,0.048404574394226074,1544.4079178370787,650.2880676498128,0.38484638929367065,1526.283210440075,662.4008807350187,0.08607223629951477,981.1966731039327,349.31911282771534,0.3072971701622009,955.1066537921348,326.64018609550567,0.2850691080093384,1566.2987183988764,298.8588483146068,0.16910192370414734,301.1042288448034,837.0609492041199,0.95400071144104,516.6600099485019,668.9243182350187,0.372363418340683,522.582733497191,663.1069317649813,0.14246496558189392,197.48747293422286,1139.1327247191011,0.2970030903816223,346.56103698501875,1034.9878569756554,0.15032106637954712,224.05097875702248,1202.5803195224719,0.10409983992576599,1573.62813085206,318.33962429775283,0.23941153287887573,727.2930565308989,746.8414238061798,0.2815907597541809,715.9250643726592,749.0526246488764
5,0.25796691109152403,0.16385531425476074,1658.4117509363296,742.0880149812735,0.058421194553375244,1560.6264630149813,667.4362856975656,0.18258678913116455,1640.380237593633,699.5297869850187,0.05285182595252991,1552.3888108614233,647.9252253043071,0.24375706911087036,1530.4633368445693,676.3973256086142,0.1420232653617859,973.9204412453183,351.5862008426967,0.3554498553276062,1005.0493036048689,316.90140742041206,0.5348235964775085,1549.925386235955,311.8583216292135,0.4582386612892151,1562.2123712546818,313.31475304307116,0.9535256028175354,517.876726357678,669.3102615870787,0.350381463766098,522.6169680477528,663.8029611423221,0.2677381634712219,1338.4968984082398,515.3841145833334,0.17921942472457886,358.66605951544943,1038.8303195224719,0.1319781243801117,224.28597553838952,1203.737271769663,0.06015971302986145,189.19753628277155,1203.0853522940076,0.10771957039833069,715.0697858146068,741.6224836142324,0.14270785450935364,707.9808930243446,745.2386177434457
6,0.2865467369556427,0.45270392298698425,1657.5529611423221,746.7266502808989,0.18729975819587708,1660.5473139044943,644.3671728698503,0.6275172233581543,1638.8584094101125,706.6616192649813,0.12809139490127563,1698.4230161516855,543.4773671582398,0.4069381058216095,1534.697887406367,682.8374444054307,0.1152178943157196,1662.1646769662923,605.666330173221,0.5928862690925598,949.6516561329588,317.92851708801504,0.29612967371940613,834.9502574906368,1033.3861481741574,0.11698475480079651,841.5175122893259,998.9777914325844,0.9447201490402222,520.8376126521536,670.0995581694756,0.3204162120819092,525.2027007256554,663.753438085206,0.09376823902130127,50.077544365929306,1030.200871956929,0.23356470465660095,356.0123332162921,1042.2224660580525,0.12563177943229675,223.1495786516854,1204.6958391853934,0.07137703895568848,229.48651831694758,1204.7347553838952,0.07778793573379517,736.6994382022472,745.7816889044943,0.08025947213172913,703.2781776685393,743.3663974719102
7,0.19389499460949616,0.0746590793132782,1642.5384772940076,733.4917778558054,0.06067609786987305,1572.7083333333335,576.3313436329588,0.16425567865371704,1574.603522940075,652.2693556882023,0.04228508472442627,1594.2172869850187,597.4144867743446,0.08170369267463684,1540.0915847378278,672.4319698033707,0.11564335227012634,287.02656835205994,377.24375292602997,0.2551400661468506,968.1957367743446,331.6172167602997,0.40117311477661133,1447.1462429775281,391.35263050093636,0.16282829642295837,828.8955699906368,1018.9200023408241,0.948613166809082,521.0436783122659,667.8101591760301,0.2774595022201538,524.6541066830524,661.2148876404494,0.0808170735836029,183.49199730805245,981.0091877340824,0.22695404291152954,364.5332982209738,1038.8607502340824,0.1448037326335907,224.35539559925095,1206.0767790262173,0.07784569263458252,116.22299822975188,464.6407566713483,0.09402775764465332,735.593984082397,750.1667105571162,0.08732947707176208,707.30234667603,752.5280898876406
8,0.18392839852501364,0.09424418210983276,202.93314387289325,271.93015566479403,0.06754952669143677,215.4099002223783,246.0463483146068,0.12607204914093018,197.05495084269663,247.34331109550567,0.038898468017578125,429.51230395599254,370.7258017322098,0.08182770013809204,1488.9791081460676,648.4867304541199,0.09445324540138245,293.50885855571164,382.5908532303371,0.08601012825965881,197.49903075257492,347.80306355337086,0.4085332751274109,834.986101357678,1033.160551264045,0.19498470425605774,839.056647940075,1007.0341760299625,0.9410150051116943,523.345549508427,669.2499122191011,0.3980449438095093,1452.1008895131088,658.7554131554307,0.09066829085350037,202.24801395716293,1097.8506846910113,0.13075357675552368,366.51396447799624,1035.1822916666667,0.13391894102096558,227.37147413389513,1205.8554248595506,0.10524126887321472,133.55664428253746,479.8734492041199,0.07322442531585693,789.45546582397,324.1006115402622,0.06134304404258728,195.81202817766854,488.3721032303371
9,0.18366288788178387,0.09287381172180176,1629.6561914794008,723.9273174157304,0.043828368186950684,206.012461230103,238.94955524344573,0.0789879560470581,194.5210454705056,246.03025514981277,0.1393508017063141,436.03405898876406,374.62971090823976,0.04770922660827637,436.89387289325845,378.5838014981274,0.06998711824417114,886.6938787453183,314.7191742743446,0.06127229332923889,1353.364934456929,607.6016063904494,0.40171104669570923,1414.1120962078653,397.01179190074913,0.17570620775222778,267.24752018960675,960.3353230337079,0.9526588916778564,522.6291476474719,668.5048718398878,0.31804966926574707,524.4623785697565,661.350070224719,0.11404675245285034,204.20505252223782,1100.0586669007491,0.14146080613136292,367.3889937382959,1038.415554775281,0.158837229013443,128.15501923864701,472.04639220505624,0.16772010922431946,134.33096324906367,471.01547869850185,0.08578339219093323,745.8813202247192,751.0952861657304,0.07228541374206543,755.0641532069288,757.2896184456929
